"school","pdf"
"Kilmer","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Kilmer_610022.pdf"
"Kozminski","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_kozminski_610030.pdf"
"Langford","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Langford_609869.pdf"
"Lasalle II","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Lasalle_II_610520.pdf"
"Lawndale","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/IndividualSchool_Lawndale_610034.pdf"
"Leland","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Leland_610305.pdf"
"Lenart","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Lenart_610298.pdf"
"Lloyd","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Lloyd_610040.pdf"
"Locke J","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_LockeJ_610041.pdf"
"Logandale","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Logandale_610325.pdf"
"Lovett","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/IndividualSchool_Lovett_610043.pdf"
"Manierre","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Manierre_610048.pdf"
"Marquette","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/IndividualSchool_Marquette_610053.pdf"
"Marsh","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Marsh_610054.pdf"
"Mayer","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Mayer_610059.pdf"
"Mays","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Mays_610290.pdf"
"McCormick","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_McCormick_610063.pdf"
"McCutcheon","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_McCutcheon_610269.pdf"
"McKay","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_McKay_610067.pdf"
"Melody","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Melody_610293.pdf"
"Monroe","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Monroe_610074.pdf"
"Moos","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Moos_610076.pdf"
"Morrill","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Morrill_610077.pdf"
"Mozart","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Mozart_610088.pdf"
"Murphy","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Murphy_610089.pdf"
"Neil","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Neil_610093.pdf"
"Nicholson","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Nicholson_609793.pdf"
"Nightingale","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Nightingale_610096.pdf"
"Nixon","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/IndividualSchool_Nixon_610097.pdf"
"North River","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/IndividualSchool_NorthRiver_610354.pdf"
"Ogden ES","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Ogden_610101.pdf"
"Oglesby","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Oglesby_610102.pdf"
"Okeeffe","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Okeefe_610103.pdf"
"Oriole Park","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_OriolePark_610105.pdf"
"Parker","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Parker_610112.pdf"
"Parkside","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschools_Parkside_610116.pdf"
"Peirce","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Peirce_610122.pdf"
"Penn","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Penn_610123.pdf"
"Perez","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Perez_609872.pdf"
"Peterson","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/IndividualSchool_Peterson_610127.pdf"
"Piccolo","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/IndividualSchool_Piccolo_610106.pdf"
"Pickard","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Pickard_610129.pdf"
"Pilsen","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Pilsen_610013.pdf"
"Portage Park","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_PortagePark_610135.pdf"
"Pritzker","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_pritzker_610229.pdf"
"Randolph","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Randolph_609941.pdf"
"Ravenswood","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Ravenswood_610141.pdf"
"Ray","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Ray_610142.pdf"
"Reavis","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Reavis_610143.pdf"
"Reilly","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Reilly_610144.pdf"
"Reinberg","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Reinberg_610145.pdf"
"Revere","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Revere_610146.pdf"
"Rogers","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Rogers_610147.pdf"
"Saucedo","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Saucedo_610017.pdf"
"Schubert","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Schubert_610165.pdf"
"Sherwood","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Sherwood_610173.pdf"
"Shields, J","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_ShieldsJ_610174.pdf"
"Smyth","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Smyth_610180.pdf"
"Solomon","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Solomon_610182.pdf"
"South Shore","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_SouthShore_610530.pdf"
"Spencer","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_spencer_610183.pdf"
"Stagg","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_Stagg_610339.pdf"
"Stock","http://www.cps.edu/SiteCollectionDocuments/LeadTesting/Individualschool_stock_610163.pdf"
